rating,title
5,Slightly used phone
5,This was a surprise in the best of ways
2,owner
5,Great Phone at a Great Price
3,Verizon wireless phone
1,don't buy
5,All Good
5,Phone
1,Very disappointed.
2,Two Stars
5,"Not for me, but good."
3,Barrage...It still works!
1,One Star
1,please help. I can't program the phone.
3,one probleme
5,Very Durable Phone
5,barrage
3,Not very Rugged
3,Is it water resistant??
1,Not user friendly or tough
1,Motorola Barrage Not Supported by Verizon or Motorola
5,good cell
5,Longevity
1,AVOID AT ALL COST
3,Doesn't stay charged
5,Made it through water
5,Awesome Phone! Tough as nails and wate/shock resistance
1,DO NOT BUY MOTOROLA EVER!
5,"Works great, it would have been nice to have the ..."
5,great phone
1,MOTOROLA BARRAGE
5,Motorola Barrage V860 cell phone
5,"This is not a prepaid device. But Verizon made me purchase minutes? - Fixed, great phone!"
5,Used the V860 for over 10 years
5,Great phone with 2 catches
4,short battery life
5,Impressed with customer focus...
5,Practically undamageable
5,Great Basic Phone
3,No longer charges new battery 100%.
5,exceeded expectation
5,10 out of 10. Great product and great price.
5,First choice for a rugged phone
3,NOT yet
4,Takes a beating!
5,Great for the price
5,BackUp Assistant Reset Procedure
3,Cannot be programmed
5,The price was really good; it appeared to be brand new
1,Definitely refurbished
1,Should have known better.
5,bomb resistant!
5,Five Stars
5,Excellent phone
4,Used Motorola Barrage
5,perfect phone for my husband
5,Great cell!!
5,Indestructible phone!
3,used phone still the way to go
5,Five Stars
2,Not worth my time and money
5,Works fine and didn't break the bank.
5,So glad I found this phone!
1,Quality
5,Great Phone
5,super phone
5,Great Quality Clamshell Phone
5,Tough flip phone
5,"Durable cell phone, love it!"
5,Great Phone and Great Sellers
4,Four Stars
5,Five Stars
5,Flip for fun
5,Good Phone
4,"Good phone, I lost one like it that I ..."
5,Loved phone!
1,Locked phone :(
5,great phone
4,Good phone.
5,Five Stars
5,"Happy, Happy, Happy"
5,Tough devise great reception on both ends of conversation
5,Five Stars
5,Five Stars
4,i'M A HAPPY CAMPER
1,Buyer beware !
5,Five Stars
5,Great phones
5,Five Stars
5,best
5,Phone
4,"SIMPLE? YES, RUGGED? Meh... Not so much. Good reception."
5,Very good service satisfied with the product the only problem the ...
5,Great Phone
1,One Star
5,DIAL IN FOR A GOOD DEAL
5,love it
4,Simplicity at its best
4,Four Stars
5,Very sturdy and reliable
1,One Star
5,"GREAT SELLER, GREAT ITEM"
3,nice
5,Great rugged phone.
5,Five Stars
5,VERIZON WIRELESS CELL PHONE MOTOROLA BARRAGE V860 V 860
5,Five Stars
2,Two Stars
4,Four Stars
5,nice phone
5,Just what I needed
5,Five Stars
5,BUYER
3,... a basic phone with no data that would be good for texting and phone
5,Five Stars
5,BEST PHONE EVER
5,Good Phone
5,We love them! Durable
1,Did not arrive to me as advertised
4,Good Buy!
5,Five Stars
5,Five Stars
5,Better than expected
5,Five Stars
5,Five Stars
5,Five Stars
5,Five Stars
5,Awesome for construction!
5,great
5,good phone
2,Two Stars
3,Three Stars
2,Two Stars
5,nice phone
5,Fantastic buy!
5,"Rugged, long lasting, and perfect for people who don't do more than text and talk"
5,Verizon insurance a nogo
5,Great VZW Phone for Active Adults
3,Hit or (mostly) Miss Phone....
1,This phone did not hold up for me.
5,If it meets you needs this phone is excellent.
4,excellent phone
5,The Best Ever
2,This was recommended by a Verizon rep and the phone is hard ...
5,MOST DURABLE AND BEST OPERATING WATERPROOF PHONE
5,Best phone for talking.
4,Good basic phone
5,Excellent purchase.
4,ready to go
5,Five Stars
5,Five Stars
1,One Star
3,Three Stars
4,Correction to my review
1,IT IS A PREPAID PHONE
3,Used
5,Also works with Selectel
5,Five Stars
5,WORKED GREAT
5,great sound for the price
5,Five Stars
5,MANY CALL FEATURES AND WITH A GOOD CAMERA
5,Works
5,Five Stars
1,Cannot not use this product at all
4,Four Stars
5,Five Stars
5,Five Stars
2,Two Stars
1,Not as Advertised
5,Highly recommend
5,Phone looks and works great.
5,Five Stars
1,Had no idea it was prepaid
5,Five Stars
4,What i was looking for
5,Who's looking for a flip phone?
1,Watch Refurbished phone - Could be pre-paid phone
1,Phone
1,One Star
1,bad custermer sirvice
1,One Star
4,Satisfied
5,Senior Citizen Friendly
3,U350
1,"I knew better, but did it anyway."
1,One Star
2,mehh
5,Great alternative to expensive smart phone for basic communication
5,"Four years, still with the SAME phone"
4,Four Stars
1,Phone does not work.
5,It's just a phone! It's simple. It works.
5,Phone was much better than expected-appears to be brand new
5,good deal
4,Great for what we needed it for
1,One Star
5,great value
3,Three Stars
5,Good buy
4,SAMSUNG U350 CDMA FLIP PHONE (with Camera)
1,not unlocked
5,Five Stars
5,Five Stars
1,They Didnt work
1,Phone received with a prepaid phone that wasn't activatable.
1,One Star
4,Reception seems to be good to excellent everywhere
3,Purchased as spare / emergency phones
5,Great for Basic Phone
4,Cute Phone
5,Good Deal
1,Product that works
5,Five Stars
5,GREAT PHONE FOR ANYONE THAT DOESN'T USE A PHONE MUCH!!!
4,Good phone
4,good phone
5,"For the price, it's a great phone"
1,Pissed off
4,... was for my mother and she says it's works great! I would give it a 5 star
5,BRGARY
5,Five Stars
1,I had foolishly expected that something would come with it ...
5,Five Stars
5,Five Stars
5,Five Stars
4,00ps?
5,its useful
1,One Star
5,Five Stars
1,Did not work for me
1,Not what I expected
5,Complaint re: Crawfords Superstore / generic response to feedback
1,defective
2,Only for prepaid plans
1,Bad Bad Ripped Off !!!!!!!!
1,defective
1,Wong phone
5,verizon phone
4,Great Basic Phone
1,"Avoid like the plague - bad hardware, Keystone Cops service"
5,Best Phone and Signal Anywhere
3,"Excellent phone, but old technology means no backup/restore of contacts"
5,Awesome
5,This is a GREAT basic phone!
5,SOLD phone-- drop it a thousand times & it still works beautifully!
3,It's too smooth
4,This phone works well for Me
1,Not Happy
2,No stating that this phone has the old style charge ...
5,Verizon Samsung Mobile Phone
4,Good Phone For Simple Needs
5,Excellent Phone
3,Make sure your aware that it can only be used with prepaid card
5,great phone
5,Five Stars
1,One Star
5,Grat phone for noisy places.
4,Four Stars
5,phone
2,verizon accts.
5,Five Stars
4,Four Stars
3,I Bertha Byrd like your service
1,DO NOT BUY
5,Five Stars
5,phone
5,Five Stars
1,One Star
4,practical purposes
1,One Star
5,Five Stars
2,Would not work on our family plan
1,read this
1,prepaid junk
3,REplace phone
3,two not identical items
5,Excellent Service
5,Awesome phone
2,Worst Flip Phone
2,"You get what you pay for. In this case, not much."
5,verizon cellphone
4,Four Stars
1,Ripoff
1,Crazy
1,Not very good at all
2,Phone Lacks Necessary Hardware To Make It Compatible to LG
5,Item New as promised
1,Poor product
5,Great Phone for the baby boomers/I still need a little help
5,Works well
4,the phone is easy to use and if I drop it the phone doesn't break
5,Easy to order.
5,Best Phone Ever
4,Great gift!
5,Great flip
5,IF PTT BOTHERS YOU
2,step down from Motorola Tundra
1,Crappy reception
4,Much better than the original!
2,Defective Product with invalid waranty
2,Shame on Samsung
1,"Samsung's Rugby, A Vexatious Wimp of a Phone"
3,LaPorteLS
1,OK phone but serious bug
3,Decent for a not-smartphone
5,Very Rugged Phone!!!
5,HAPPY
4,"PTT Cure, non-permanent solution. SILICONE!"
4,"Awesome ""Senior"" phone"
5,Great phone so far for us!
5,durable
5,Landscape Contractor's dream
1,This review is for the ATT service that you may endure with this phone
1,Rugged phone? Don't make me laugh!
5,Best I have owened
3,"Not as ""rugged"" as I anticipated"
5,GREAT!
2,Two Stars
1,good phone unless you want to print your text
2,Virtual Entrapment
5,i love this phone
4,A great phone if rugged is your priority
1,Not really durable
1,Trash
2,Disappointed
1,Not the durable phone you want
1,JUNK
5,Couldn't be happier unless it was free
5,Five Stars
1,Samsung Rugby II will not connect to any PC
4,Arguably the best flip phone on the market
1,This must be the waterboy of the rugby team...
3,the speaker is TERRIBLE the Worse of the Worse
5,Best international phone ever
1,Not even close to rugged
4,This is a great phone for those not interested in smartphones
1,28 days later and . . .
1,All Physical
5,so far the best phone i ever had
1,Not the durable phone they say!
5,Excellent Phone
3,Solid phone. Broke the front screen after a few months. Not as indestructible as I hoped.
5,Nice sturdy phone
5,Great phone...don't listen to the negative reviews!
1,READ THIS!
2,better available
4,Push To Talk
1,"How do I hate thee, let me count the ways"
1,No a happy customer
1,Sending a text with Samsung Rugby II in just 15 easy steps!
3,The phone is good - if you do not crack the screen
2,Two Stars
2,it is OK! but...
4,PHONE CAME VERY CLEAN!!! FOR WHAT I ...
5,"great phone, bummer service"
2,"Gusto-Good, Verizon-Bad"
3,"""Not Blue Tooth Capable"""
1,Alarm is unreliable
2,texting issues with this phone
2,Software wont work with 64 bit Windows 7!
2,phone won't stop charging
1,Phone does not charge after a short time... battery not the problem
1,Poor Reception
2,Samsung Gusto Alarm Feature Does Not Work
2,What a Dissapointment
1,Beyond Trash
2,NO FRILLS-BE CAREFUL
3,Somewhat disappointed . . . . .
1,Worst cell phone we ever had
3,Alarm Malfunctions
5,Phone keeps on Going
5,Useful mobile phone
5,check to make sure it works in your area
4,Four Stars
1,Disaster service
4,Not working
4,Basic phone for people who do not need a lot of phone
5,Really Pleased with this Phone !!
5,Five Stars
1,Not that good.
5,great little phone
3,Works well
5,Really good phone for the prepaid people!
1,One Star
4,Cheep
5,A Surprise for a Freebie
5,Great phone and service for part time usage
4,I am a 6 year user of Net10
4,Love this phone!
1,"Great value, but poor service"
1,worst phone service ever
1,tragic
5,This one is worth keeping...
2,I've used this model phone for a couple years now and I like the phones
5,"Buy from ""Quality Used Phones"" for fast shipping!"
1,False Advertising
5,"Durable, well built, easy activation."
3,Good as a replacement phone in a pinch
4,But its nice to know those bells and whistles are there if ...
5,AS good as ever
5,"Very good ""dumbphone"""
5,This is a replcement
5,great phone
5,Excellent quality
5,Fits perfectly in my carpenter jeans pocket.
5,A good buy for people looking for just a simple flip phone.
4,Love this phone.
5,"Rugged Phone, Great Price"
5,Great phone
1,One Star
5,Just what I was hoping for
5,good
1,Don't buy
1,Avoid at all costs.
1,I'm very disappointed
5,Five Stars
5,"Husband loves his ""retro"" dumb phone"
3,Samsung makes great products
5,Fast delivery
5,easy to set up
5,Five Stars
1,"VERIZON WOULD NOT LET ME USE THIS MODEL, SO I RETURNED IT."
5,Great phone for what we needed
5,but overall great
3,Nothing
4,good phone. The price is a little high for ...
5,Quick shipping used Product works great no
5,Phone
3,Three Stars
5,New phone
5,Five Stars
4,Four Stars
5,Well received
5,Five Stars
5,said good to very good
5,Five Stars
1,Sucks! Refurbished phone!
1,Sells Broken Products
1,it was funny that I received 2 phones like that
5,great reception
5,Five Stars
4,Four Stars
4,Four Stars
5,Five Stars
3,Alright
3,Three Stars
4,... was exactly what it was a little late but good
5,Five Stars
4,Fast service. This was a refurbished phone. No ...
4,Four Stars
5,"The Convoy Outsmarts the Smartest ""Smart Phone"""
3,"Good phone, good condition but the micro usb (which ..."
3,ok
5,Five Stars
4,Samsung U640 Great Flip Phone !!
5,"Still the best--Original Samsung Convoy Cell Phone from TargetWireless, refurbished"
4,GOOD PHONE! so far
1,Broken phones were sent
1,Broken
1,"This phone was listed as fully functional. However, ..."
1,Item lost or stole
4,Works well.
1,Dud
5,This was a replacement for the phone I had for ...
3,A little disappointed in that the screen was cracked which was different ...
5,Five Stars
1,One Star
5,Five Stars
3,Ask the right questions.
4,Four Stars
4,I still like it.
5,Exact replacement as advertised
5,Five Stars
5,Husband very pleased with it
1,It was a terrible experience and I still have not gotten my money ...
5,Cheap replacement phone
5,Five Stars
4,Four Stars
5,Five Stars
4,Cellphone happiness!
5,Five Stars
5,Five Stars
5,Five Stars
5,Better then new
5,Five Stars
4,Works as Expected
5,Five Stars
5,Five Stars
5,best company good products
5,Five Stars
5,CORRECTED REVIEW
5,great basic phone
4,Four Stars
5,Better off keeping the u640 the standby is far better then todays
4,Phone works good. The only problem was it still had all ...
5,Five Stars
4,Great phone for the $$
5,"So far, really good! Amazing bargain at $10"
4,Samsung r355c n10 phone: One of the best $9.99 deals ever.
4,Good for the Purpose.
5,"For the price, the overall quality, and everything else, this was a steal!"
5,great phone
5,So Much for so little!
5,Solid feature phone
4,Works just fine
5,CDMA New Hampshire for US Cellular people.
4,SamSung R355C
5,My son loves this phone
5,Great value for the money
4,Decent
4,works good
5,Good buy
5,Great Value
5,Nice phone
5,Need a cheap no frills phone? This is it!
3,"Not a smart phone, but this one does everything well"
5,Samsung R355C Net10 Unlimited
2,not what i needed
5,Great Phone
4,Good phone and service for someone on a budget
4,Can't beat it for the price.
5,Excellent seller. Would purchase from seller again
5,"Great Cute Lil'Cell:) Great Seller, shipped FED-EX Got it in 1 DAY!!"
5,This is a great and affordable phone for calling and texting purposes
2,Didn't care for this phone!
5,Great phone
3,otherwise I guess it's fine for the U
5,New & Works Great!
3,"Excellent Bargain, Terrible Service"
5,Nice phone.
5,Great deal on a NET10 phone
5,nice
4,Four Stars
5,Excellent low-cost phone
5,unreal!
4,Samsung R355C Net 10 Unlimited
5,This is a good phone for the money
5,Five Stars
5,I can get service ANYWHERE! ...nearly
5,great phone!
5,Really like Phone
4,Jill
5,"Excellent talk, text phone"
4,OMG She Loves it
5,Paid 9.99 - couldn't be happier
4,I LIKE IT!
5,phone
2,Very Disappointed w/This Model
4,Great Phone
3,Not The Greatest
3,Just one thing wrong
1,dead battery
3,Three Stars
5,my new phone
3,Read the review for why I gave it this rating
1,Wouldn't even power up.
3,it is what it says it is
1,this was terrible
2,disappointed
4,net 10
5,Solid Phone!!!
5,Nice phone
4,over all good phone but has some annoyances
5,"So good, I just ordered another R355C Net10 phone *** UPDATE ***"
5,"At last, good reception at a reasonable price!"
5,Thank you SO MUCH for this great deal!
5,Fantastic and cheap for calls/texting.
5,Better Than Expected
3,Be careful you find out what cell phone companies are active in your area prior to buying a cell phone on line.
2,Unbelievable
5,Better Than My Android in some ways...
5,Good cheap phone!
5,One of the best
4,"Overall, a solid performer"
5,A Great CDMA Phone for Rural Areas
1,Their customer service is horrible. I returned it to Amazon
5,Very nice phone
4,An upgrade
5,Purchased as a backup phone.
5,Great little phone
4,Great battery life
3,Received as expected is working with net10
5,samsung r355c net 10 unlimited
5,Very Expensive looking phone!!!!!
3,Not Excited
3,I lost my phone
5,great price don`t change
5,Great basic phone
5,Great little phone
5,Good phone. Price and features make it a winning combination for the prepaid customer who wants mp3 playback and qwerty
5,Five Stars
4,Nice Phone
4,80 it a good
4,It is easily set to on
3,Does the job
5,Great Phone For Such A Small Price
5,Qwerty
5,Perfect
5,:)
4,works well for $10
5,Love it
3,Three Stars
5,easy to use phone
5,Five Stars
5,Great phone!
5,Two Thumbs Up!
5,wife is very happy with it
5,net 10 samsung phone
4,Good Deal for the Price
4,Just what you need
5,Great inexpensive phone.
5,Awesome phone. ONLY 2 flaws
4,Four Stars
5,Good phone
5,Five Stars
5,Great phone for your money!!
3,Three Stars
4,Decent phone for the money.
4,Four Stars
5,All good
5,A great Buy
3,Phone ok Net10 service unbelievably BAD!
3,Liked
4,Can't beat the price
4,Replacement Net10 Phone worth the money.
1,Will not charge
1,While it worked it was fine.
5,Five Stars
1,One Star
5,Great phone for the price.
4,Good phone!
3,Good for the money but archaic
